gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
2.212963,2.000000,6.000000,14.460252,9.904682,1.472222,1.000000,2.000000,86.943398,6.589308,3.157408,2.000000,6.000000,40.539589,14.131787,11.453704,2.000000,11.000000,11.175425,51.263988,0.870370,1.000000,6.000000,147.063828,3.895566,2.129630,2.000000,6.000000,15.026087,9.531704,1.046296,1.000000,6.000000,30.584072,4.682967
2.116667,2.000000,3.000000,15.118111,9.918000,1.475000,1.000000,2.000000,86.779663,6.911363,3.041667,2.000000,3.000000,42.082191,14.252246,10.875000,2.000000,10.000000,11.770115,50.956657,0.766667,1.000000,3.000000,166.956528,3.592346,2.058333,2.000000,3.000000,15.546558,9.644670,1.008333,1.000000,3.000000,31.735537,4.724717
1.977099,1.000000,3.000000,16.185329,9.855403,1.366412,1.000000,2.000000,93.675980,6.811263,2.870229,1.000000,3.000000,44.595745,14.307457,10.183207,1.000000,9.000000,12.569715,50.761036,0.725191,1.000000,3.000000,176.505264,3.614916,1.961832,1.000000,3.000000,16.311285,9.779299,0.977099,1.000000,3.000000,32.750000,4.870624
1.891089,1.000000,2.000000,16.921467,9.947916,1.331683,1.000000,2.000000,96.118958,7.005208,2.717822,1.000000,3.000000,47.096539,14.296876,9.683168,1.000000,10.000000,13.218814,50.937500,0.712871,1.000000,2.000000,179.555542,3.750000,1.831683,1.000000,2.000000,17.470270,9.635417,0.841584,1.000000,2.000000,38.023529,4.427083
1.846847,1.000000,2.000000,17.326830,10.105160,1.237237,1.000000,2.000000,103.456314,6.769636,2.597598,1.000000,2.000000,49.276302,14.212949,9.294294,1.000000,8.000000,13.771890,50.854424,0.669670,1.000000,2.000000,191.139008,3.664148,1.843844,1.000000,2.000000,17.355049,10.088729,0.786787,1.000000,2.000000,40.671757,4.304963
1.798535,1.000000,2.000000,17.792261,10.047064,1.225275,1.000000,2.000000,104.466370,6.844690,2.523809,1.000000,3.000000,50.716984,14.098629,9.148352,1.000000,10.000000,13.991591,51.104973,0.686813,1.000000,2.000000,186.367996,3.836710,1.752747,1.000000,2.000000,18.257053,9.791284,0.765568,1.000000,2.000000,41.799042,4.276653
1.809142,1.000000,2.000000,17.687943,10.078177,1.206095,1.000000,2.000000,106.127663,6.718785,2.546111,1.000000,2.000000,50.272758,14.183605,9.150762,1.000000,8.000000,13.987906,50.976101,0.688051,0.000000,2.000000,186.032623,3.832924,1.768244,1.000000,2.000000,18.097052,9.850346,0.782678,1.000000,2.000000,40.885246,4.360063
1.796127,1.000000,3.000000,17.816111,9.997074,1.214661,1.000000,3.000000,105.379189,6.760689,2.558783,1.000000,3.000000,50.023785,14.241943,9.158230,1.000000,9.000000,13.976501,50.973843,0.676625,1.000000,3.000000,189.174164,3.766032,1.769848,1.000000,3.000000,18.080650,9.850806,0.792255,1.000000,3.000000,40.391060,4.409614
1.797585,1.000000,4.000000,17.801659,10.018683,1.225212,0.000000,3.000000,104.471680,6.828614,2.565156,1.000000,4.000000,49.899506,14.296669,9.148860,1.000000,9.000000,13.990814,50.990364,0.674491,1.000000,4.000000,189.772797,3.759215,1.761163,1.000000,4.000000,18.169813,9.815686,0.769864,0.000000,4.000000,41.565800,4.290768
1.789173,0.000000,4.000000,17.885357,9.968751,1.226881,0.000000,4.000000,104.329605,6.835823,2.570390,0.000000,4.000000,49.797890,14.321464,9.149553,0.000000,8.000000,13.989754,50.978642,0.668806,0.000000,4.000000,191.385696,3.726394,1.765218,0.000000,4.000000,18.128077,9.835278,0.777795,0.000000,4.000000,41.141960,4.333645
