Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 571, 100, 100, 0.178438, 1.000000, 3896.000000, 38.959999, 0.821355
1.000000, -5.020600, 1.260419, 515, 100, 100, 0.160938, 1.000000, 2820.000000, 28.200001, 1.134752
2.000000, -4.020600, 1.123350, 423, 100, 103, 0.128337, 0.970874, 2891.000000, 28.067961, 1.140090
3.000000, -3.020600, 1.001187, 378, 100, 101, 0.116955, 0.990099, 2833.999756, 28.059404, 1.140438
4.000000, -2.020600, 0.892308, 286, 100, 106, 0.084316, 0.943396, 2948.000000, 27.811321, 1.150611
5.000000, -1.020600, 0.795271, 285, 100, 115, 0.077446, 0.869565, 3100.000000, 26.956522, 1.187097
6.000000, -0.020600, 0.708786, 188, 100, 121, 0.048554, 0.826446, 3147.000000, 26.008265, 1.230378
7.000000, 0.979400, 0.631706, 171, 100, 153, 0.034926, 0.653595, 3943.000000, 25.771242, 1.241694
8.000000, 1.979400, 0.563009, 132, 100, 218, 0.018922, 0.458716, 5601.000000, 25.692661, 1.245492
9.000000, 2.979400, 0.501782, 108, 100, 313, 0.010783, 0.319489, 8001.000000, 25.562300, 1.251844
10.000000, 3.979400, 0.447214, 108, 100, 594, 0.005682, 0.168350, 15109.000000, 25.436028, 1.258058
