# Bit Errors, # Frame Errors, # Simulated frames, BER, FER, Time for this SNR, Average time for one frame
266, 100, 103, 0.000000, 0.000000, 0.001710, 0.000017
100, 100, 202, 0.000000, 0.000000, 0.002962, 0.000015
100, 100, 193, 0.000000, 0.000000, 0.002770, 0.000014
100, 100, 203, 0.000000, 0.000000, 0.002903, 0.000014
100, 100, 214, 0.000000, 0.000000, 0.002875, 0.000013
100, 100, 214, 0.000000, 0.000000, 0.002757, 0.000013
