SNR,gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
0,0.903846,0.000000,1.000000,35.404255,9.572302,0.932692,0.000000,1.000000,34.309280,9.877800,0.923077,0.000000,1.000000,34.666668,9.775968,3.721154,0.000000,3.000000,8.599483,39.409370,0.807692,0.000000,1.000000,39.619049,8.553971,1.105769,0.000000,1.000000,28.939129,11.710795,1.048077,0.000000,1.000000,30.532112,11.099796
1,0.908333,0.000000,1.000000,35.229355,9.954338,0.950000,0.000000,1.000000,33.684212,10.410959,0.975000,0.000000,1.000000,32.820511,10.684932,3.383333,0.000000,3.000000,9.458128,37.077625,0.800000,0.000000,1.000000,40.000000,8.767123,1.100000,0.000000,2.000000,29.090908,12.054794,1.008333,0.000000,1.000000,31.735537,11.050228
2,0.903704,0.000000,1.000000,35.409836,10.000000,0.948148,0.000000,1.000000,33.750000,10.491803,0.955556,0.000000,1.000000,33.488373,10.573771,3.362963,0.000000,3.000000,9.515418,37.213116,0.785185,0.000000,1.000000,40.754719,8.688524,1.066667,0.000000,1.000000,29.999998,11.803280,1.014815,0.000000,1.000000,31.532846,11.229508
3,0.866667,0.000000,1.000000,36.923077,10.406938,0.883333,0.000000,1.000000,36.226414,10.607072,0.833333,0.000000,1.000000,38.400002,10.006670,3.155555,0.000000,3.000000,10.140845,37.891926,0.683333,0.000000,1.000000,46.829269,8.205470,1.011111,0.000000,1.000000,31.648352,12.141428,0.894444,0.000000,1.000000,35.776398,10.740494
4,0.774096,0.000000,1.000000,41.338524,9.842972,0.819277,0.000000,1.000000,39.058823,10.417465,0.807229,0.000000,1.000000,39.641792,10.264267,3.000000,0.000000,3.000000,10.666667,38.146305,0.665663,0.000000,1.000000,48.072399,8.464190,0.945783,0.000000,1.000000,33.834396,12.026044,0.852410,0.000000,1.000000,37.540634,10.838759
5,0.775475,0.000000,1.000000,41.265034,10.253482,0.806563,0.000000,1.000000,39.674519,10.664536,0.751295,0.000000,1.000000,42.593105,9.933775,2.880829,0.000000,2.000000,11.107913,38.090889,0.652850,0.000000,1.000000,49.015873,8.632108,0.887737,0.000000,1.000000,36.046692,11.737839,0.808290,0.000000,1.000000,39.589741,10.687372
6,0.754272,0.000000,1.000000,42.425030,10.332144,0.766477,0.000000,1.000000,41.749470,10.499331,0.764036,0.000000,1.000000,41.882854,10.465894,2.766477,0.000000,2.000000,11.567059,37.895672,0.624898,0.000000,1.000000,51.208332,8.559964,0.860862,0.000000,1.000000,37.172024,11.792242,0.763222,0.000000,1.000000,41.927505,10.454747
7,0.766304,0.000000,1.000000,41.758865,10.477352,0.783044,0.000000,2.000000,40.866184,10.706219,0.761522,0.000000,1.000000,42.021122,10.411961,2.773696,0.000000,4.000000,11.536954,37.923553,0.621304,0.000000,1.000000,51.504551,8.494828,0.855870,0.000000,1.000000,37.388874,11.701939,0.752174,0.000000,1.000000,42.543354,10.284152
8,0.755114,0.000000,3.000000,42.377689,10.314615,0.765042,0.000000,2.000000,41.827763,10.450227,0.772563,0.000000,3.000000,41.420563,10.552961,2.774549,0.000000,3.000000,11.533407,37.899433,0.629723,0.000000,3.000000,50.815975,8.601815,0.861673,0.000000,3.000000,37.137070,11.770168,0.762154,0.000000,3.000000,41.986263,10.410776
9,0.749115,0.000000,3.000000,42.717102,10.242834,0.769313,0.000000,3.000000,41.595539,10.519016,0.770553,0.000000,3.000000,41.528622,10.535966,2.772895,0.000000,3.000000,11.540287,37.914494,0.624400,0.000000,3.000000,51.249214,8.537578,0.863449,0.000000,3.000000,37.060654,11.806165,0.763823,0.000000,3.000000,41.894508,10.443950
