Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 1610, 100, 100, 0.503125, 1.000000, 3795.000000, 37.950001, 0.843215
1.000000, -5.020600, 1.260419, 1596, 100, 100, 0.498750, 1.000000, 2692.000000, 26.920000, 1.188707
2.000000, -4.020600, 1.123350, 1551, 100, 100, 0.484688, 1.000000, 2684.000000, 26.840000, 1.192250
3.000000, -3.020600, 1.001187, 1644, 100, 100, 0.513750, 1.000000, 2673.000000, 26.730000, 1.197157
4.000000, -2.020600, 0.892308, 1625, 100, 100, 0.507812, 1.000000, 2421.000000, 24.209999, 1.321768
5.000000, -1.020600, 0.795271, 1577, 100, 100, 0.492813, 1.000000, 2387.000000, 23.870001, 1.340595
6.000000, -0.020600, 0.708786, 1580, 100, 100, 0.493750, 1.000000, 2387.000000, 23.870001, 1.340595
7.000000, 0.979400, 0.631706, 1594, 100, 100, 0.498125, 1.000000, 2383.000000, 23.830000, 1.342845
8.000000, 1.979400, 0.563009, 1576, 100, 100, 0.492500, 1.000000, 2377.000000, 23.770000, 1.346235
9.000000, 2.979400, 0.501782, 1618, 100, 100, 0.505625, 1.000000, 2373.000000, 23.730000, 1.348504
10.000000, 3.979400, 0.447214, 1590, 100, 100, 0.496875, 1.000000, 2373.000000, 23.730000, 1.348504
