Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -4.771213, 1.224745, 260, 100, 104, 0.078125, 0.961538, 2885.000000, 27.740385, 1.153553
1.000000, -3.771213, 1.091555, 217, 100, 115, 0.058967, 0.869565, 3068.000000, 26.678261, 1.199479
2.000000, -2.771213, 0.972849, 169, 100, 130, 0.040625, 0.769231, 3449.000000, 26.530769, 1.206147
3.000000, -1.771213, 0.867053, 152, 100, 166, 0.028614, 0.602410, 4180.000000, 25.180723, 1.270813
4.000000, -0.771213, 0.772762, 119, 100, 279, 0.013329, 0.358423, 6247.000000, 22.390680, 1.429166
5.000000, 0.228787, 0.688725, 117, 100, 412, 0.008874, 0.242718, 8967.000000, 21.764563, 1.470280
6.000000, 1.228787, 0.613826, 105, 100, 1084, 0.003027, 0.092251, 23486.000000, 21.666052, 1.476965
7.000000, 2.228787, 0.547073, 103, 100, 2433, 0.001323, 0.041102, 52591.000000, 21.615702, 1.480405
8.000000, 3.228787, 0.487580, 101, 100, 7800, 0.000405, 0.012821, 168045.000000, 21.544231, 1.485316
9.000000, 4.228787, 0.434556, 100, 100, 28349, 0.000110, 0.003527, 610228.000000, 21.525557, 1.486605
