gen_avg,gen_min,gen_max,gen_thr,gen_percent,encode_avg,encode_min,encode_max,encode_thr,encode_percent,bpsk_avg,bpsk_min,bpsk_max,bpsk_thr,bpsk_percent,awgn_avg,awgn_min,awgn_max,awgn_thr,awgn_percent,demodulate_avg,demodulate_min_demodulate_max,demodulate_thr,demodulate_percent,decode_avg,decode_min,decode_max,decode_thr,decode_percent,monitor_avg,monitor_min,monitor_max,monitor_thr,monitor_percent
2.169811,0.000000,8.000000,14.747827,18.253967,0.896226,0.000000,1.000000,35.705265,7.539683,1.349057,0.000000,8.000000,23.720280,11.349206,3.962264,0.000000,8.000000,8.076191,33.333332,0.811321,0.000000,8.000000,39.441860,6.825397,1.566038,0.000000,8.000000,20.433735,13.174603,1.132075,0.000000,8.000000,28.266668,9.523809
2.144000,2.000000,3.000000,14.925373,19.448477,0.960000,0.000000,1.000000,33.333336,8.708273,1.304000,2.000000,3.000000,24.539877,11.828738,3.360000,2.000000,3.000000,9.523809,30.478954,0.720000,1.000000,3.000000,44.444443,6.531205,1.520000,1.000000,3.000000,21.052631,13.788098,1.016000,1.000000,3.000000,31.496061,9.216256
2.106383,2.000000,8.000000,15.191918,19.348534,0.900709,0.000000,1.000000,35.527561,8.273616,1.397163,2.000000,8.000000,22.903553,12.833876,3.375886,2.000000,8.000000,9.478992,31.009771,0.765957,1.000000,8.000000,41.777775,7.035831,1.411348,2.000000,8.000000,22.673367,12.964169,0.929078,1.000000,8.000000,34.442745,8.534203
2.005848,1.000000,3.000000,15.953353,19.678715,0.830409,0.000000,1.000000,38.535213,8.146873,1.204678,1.000000,3.000000,26.563107,11.818704,3.163743,1.000000,3.000000,10.114602,31.038439,0.695906,1.000000,3.000000,45.983192,6.827309,1.374269,1.000000,3.000000,23.285107,13.482501,0.918129,0.000000,3.000000,34.853504,9.007459
1.920732,1.000000,2.000000,16.660318,19.650654,0.835366,0.000000,1.000000,38.306572,8.546475,1.146341,1.000000,2.000000,27.914894,11.728010,2.875000,1.000000,3.000000,11.130435,29.413599,0.701219,1.000000,2.000000,45.634785,7.174048,1.445122,1.000000,2.000000,22.143459,14.784780,0.850610,1.000000,2.000000,37.620071,8.702433
1.808362,1.000000,2.000000,17.695568,19.449129,0.742160,0.000000,1.000000,43.117371,7.982012,1.108014,1.000000,2.000000,28.880503,11.916807,2.837979,1.000000,3.000000,11.275629,30.522764,0.667247,1.000000,2.000000,47.958221,7.176316,1.324042,1.000000,2.000000,24.168421,14.240211,0.810105,0.000000,2.000000,39.501076,8.712760
1.755165,1.000000,3.000000,18.231909,19.107113,0.776588,0.000000,1.000000,41.205910,8.454106,1.094109,1.000000,3.000000,29.247551,11.910712,2.830145,1.000000,3.000000,11.306840,30.809595,0.657230,0.000000,3.000000,48.689171,7.154756,1.280031,1.000000,3.000000,24.999403,13.934700,0.792655,1.000000,3.000000,40.370655,8.629020
1.768783,1.000000,4.000000,18.091532,19.338085,0.756907,0.000000,1.000000,42.277298,8.275259,1.105187,1.000000,4.000000,28.954388,12.082991,2.830102,1.000000,4.000000,11.307014,30.941463,0.631847,1.000000,4.000000,50.645184,6.907973,1.270238,1.000000,4.000000,25.192139,13.887491,0.783568,1.000000,4.000000,40.838848,8.566734
1.769418,0.000000,4.000000,18.085047,19.390924,0.770690,0.000000,2.000000,41.521236,8.445938,1.108207,0.000000,4.000000,28.875481,12.144759,2.810595,0.000000,4.000000,11.385489,30.801117,0.631311,0.000000,4.000000,50.688168,6.918494,1.270603,0.000000,4.000000,25.184889,13.924452,0.764155,0.000000,4.000000,41.876331,8.374319
1.762932,1.000000,4.000000,18.151579,19.346333,0.765709,0.000000,3.000000,41.791321,8.402856,1.102199,1.000000,4.000000,29.032873,12.095477,2.798631,1.000000,4.000000,11.434161,30.712044,0.636285,1.000000,4.000000,50.291920,6.982562,1.269585,1.000000,4.000000,25.205082,13.932367,0.777146,1.000000,4.000000,41.176300,8.528363
