# Bit Errors, # Frame Errors, # Simulated frames, BER, FER, Time for this SNR, Average time for one frame
178, 100, 112, 0.000000, 0.000000, 0.001113, 0.000010
134, 100, 139, 0.000000, 0.000000, 0.001219, 0.000009
100, 100, 189, 0.000000, 0.000000, 0.001648, 0.000009
100, 100, 222, 0.000000, 0.000000, 0.001928, 0.000009
100, 100, 214, 0.000000, 0.000000, 0.001763, 0.000008
