Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -4.771213, 1.224745, 372, 100, 105, 0.110714, 0.952381, 2575.000000, 24.523809, 1.304854
1.000000, -3.771213, 1.091555, 281, 100, 110, 0.079830, 0.909091, 2776.000000, 25.236364, 1.268012
2.000000, -2.771213, 0.972849, 237, 100, 111, 0.066723, 0.900901, 2702.000244, 24.342344, 1.314582
3.000000, -1.771213, 0.867053, 180, 100, 136, 0.041360, 0.735294, 3222.000244, 23.691177, 1.350714
4.000000, -0.771213, 0.772762, 152, 100, 178, 0.026685, 0.561798, 4001.000000, 22.477528, 1.423644
5.000000, 0.228787, 0.688725, 127, 100, 248, 0.016003, 0.403226, 5769.000000, 23.262096, 1.375628
6.000000, 1.228787, 0.613826, 112, 100, 436, 0.008028, 0.229358, 9706.000000, 22.261467, 1.437461
7.000000, 2.228787, 0.547073, 107, 100, 974, 0.003433, 0.102669, 21373.000000, 21.943531, 1.458289
8.000000, 3.228787, 0.487580, 100, 100, 2721, 0.001148, 0.036751, 59638.000000, 21.917677, 1.460009
9.000000, 4.228787, 0.434556, 101, 100, 9695, 0.000326, 0.010315, 211433.000000, 21.808458, 1.467321
