Eb/No,Es/No, Sigma, # Bit Errors, # Frame Errors, # Simulated frames,BER,FER, Time for this SNR, Average time for one frame
0.000000, -6.020600, 1.414214, 263, 100, 107, 0.076811, 0.934579, 0.001190, 0.000011
1.000000, -5.020600, 1.260419, 223, 100, 127, 0.054872, 0.787402, 0.001342, 0.000011
2.000000, -4.020600, 1.123350, 157, 100, 128, 0.038330, 0.781250, 0.001354, 0.000011
3.000000, -3.020600, 1.001187, 149, 100, 184, 0.025306, 0.543478, 0.001942, 0.000011
4.000000, -2.020600, 0.892308, 119, 100, 303, 0.012273, 0.330033, 0.003191, 0.000011
5.000000, -1.020600, 0.795271, 106, 100, 588, 0.005634, 0.170068, 0.006174, 0.000010
6.000000, -0.020600, 0.708786, 105, 100, 1242, 0.002642, 0.080515, 0.013041, 0.000010
7.000000, 0.979400, 0.631706, 102, 100, 3515, 0.000907, 0.028450, 0.036896, 0.000010
8.000000, 1.979400, 0.563009, 101, 100, 12910, 0.000244, 0.007746, 0.137759, 0.000011
9.000000, 2.979400, 0.501782, 100, 100, 85378, 0.000037, 0.001171, 0.895444, 0.000010
10.000000, 3.979400, 0.447214, 100, 100, 716190, 0.000004, 0.000140, 7.513144, 0.000010
11.000000, 4.979400, 0.398580, 100, 100, 12114939, 0.000000, 0.000008, 127.168976, 0.000010
12.000000, 5.979400, 0.355234, 100, 100, 326516316, 0.000000, 0.000000, 3428.062500, 0.000010
