Eb/No,Es/No, Sigma, # Bit Errors, # Frame Errors, # Simulated frames,BER,FER, Time for this SNR, Average time for one frame
0.000000, -3.010300, 1.000000, 262, 100, 109, 0.075115, 0.917431, 0.000731, 0.000007
1.000000, -2.010300, 0.891251, 224, 100, 120, 0.058333, 0.833333, 0.000751, 0.000006
2.000000, -1.010300, 0.794328, 183, 100, 145, 0.039440, 0.689655, 0.000902, 0.000006
3.000000, -0.010300, 0.707946, 146, 100, 180, 0.025347, 0.555556, 0.001102, 0.000006
4.000000, 0.989700, 0.630957, 119, 100, 309, 0.012035, 0.323625, 0.001857, 0.000006
5.000000, 1.989700, 0.562341, 112, 100, 614, 0.005700, 0.162866, 0.003700, 0.000006
6.000000, 2.989700, 0.501187, 104, 100, 1314, 0.002473, 0.076104, 0.007897, 0.000006
7.000000, 3.989700, 0.446684, 101, 100, 4257, 0.000741, 0.023491, 0.025470, 0.000006
8.000000, 4.989700, 0.398107, 100, 100, 16825, 0.000186, 0.005944, 0.100791, 0.000006
9.000000, 5.989700, 0.354813, 100, 100, 92790, 0.000034, 0.001078, 0.554931, 0.000006
10.000000, 6.989700, 0.316228, 100, 100, 884533, 0.000004, 0.000113, 5.288483, 0.000006
11.000000, 7.989700, 0.281838, 100, 100, 10030591, 0.000000, 0.000010, 59.965038, 0.000006
12.000000, 8.989700, 0.251189, 100, 100, 326177844, 0.000000, 0.000000, 1949.840942, 0.000006
