Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -6.020600, 1.414214, 474, 100, 101, 0.146658, 0.990099, 4328.000000, 42.851486, 0.746765
1.000000, -5.020600, 1.260419, 390, 100, 100, 0.121875, 1.000000, 2848.000000, 28.480000, 1.123595
2.000000, -4.020600, 1.123350, 309, 100, 105, 0.091964, 0.952381, 2956.000000, 28.152382, 1.136671
3.000000, -3.020600, 1.001187, 234, 100, 109, 0.067087, 0.917431, 3096.000000, 28.403669, 1.126615
4.000000, -2.020600, 0.892308, 186, 100, 121, 0.048037, 0.826446, 3293.000000, 27.214876, 1.175828
5.000000, -1.020600, 0.795271, 166, 100, 166, 0.031250, 0.602410, 4343.000000, 26.162651, 1.223118
6.000000, -0.020600, 0.708786, 152, 100, 217, 0.021889, 0.460829, 5647.000000, 26.023041, 1.229679
7.000000, 0.979400, 0.631706, 109, 100, 345, 0.009873, 0.289855, 8902.000000, 25.802898, 1.240171
8.000000, 1.979400, 0.563009, 104, 100, 822, 0.003954, 0.121655, 21029.000000, 25.582726, 1.250844
9.000000, 2.979400, 0.501782, 102, 100, 1531, 0.002082, 0.065317, 38968.000000, 25.452646, 1.257237
10.000000, 3.979400, 0.447214, 100, 100, 5736, 0.000545, 0.017434, 144867.000000, 25.255753, 1.267038
