Eb/No,Es/No,Sigma,# Bit Errors,# Frame Errors,# Simulated frames,BER,FER,Time for this SNR,Average time for one frame,SNR throughput
0.000000, -4.771213, 1.224745, 314, 100, 102, 0.096201, 0.980392, 2563.000000, 25.127451, 1.273508
1.000000, -3.771213, 1.091555, 245, 100, 108, 0.070891, 0.925926, 2505.000000, 23.194445, 1.379641
2.000000, -2.771213, 0.972849, 209, 100, 116, 0.056304, 0.862069, 2667.000000, 22.991379, 1.391826
3.000000, -1.771213, 0.867053, 160, 100, 150, 0.033333, 0.666667, 3436.000000, 22.906666, 1.396973
4.000000, -0.771213, 0.772762, 143, 100, 196, 0.022800, 0.510204, 4474.000000, 22.826530, 1.401878
5.000000, 0.228787, 0.688725, 118, 100, 395, 0.009335, 0.253165, 9010.000000, 22.810127, 1.402886
6.000000, 1.228787, 0.613826, 106, 100, 803, 0.004125, 0.124533, 18129.000000, 22.576588, 1.417397
7.000000, 2.228787, 0.547073, 101, 100, 2477, 0.001274, 0.040371, 55589.000000, 22.442066, 1.425894
8.000000, 3.228787, 0.487580, 101, 100, 8818, 0.000358, 0.011340, 198201.000000, 22.476866, 1.423686
9.000000, 4.228787, 0.434556, 100, 100, 54830, 0.000057, 0.001824, 1221920.000000, 22.285610, 1.435904
